Date,Region,Product_Category,Marketing_Spend,Sales_Revenue,Customer_Age,Store_Traffic
2023-02-13,West,Electronics,4861.86,19590.06,20,202
2023-02-14,West,Accessories,2853.94,8713.97,30,90
2023-02-15,West,Accessories,3332.29,11719.84,22,124
2023-02-16,West,Electronics,3630.87,9928.38,50,116
2023-02-17,East,Electronics,2545.43,11999.87,35,125
2023-02-18,South,Accessories,3324.01,12262.93,37,158
2023-02-19,South,Accessories,3129.41,11515.06,32,130
2023-02-20,East,Software,4555.21,12490.91,37,121
2023-02-21,South,Accessories,704.51,3219.24,64,80
2023-02-22,East,Software,1764.33,6003.45,31,94
2023-02-23,West,Software,4776.85,19262.24,27,182
2023-02-24,East,Software,4506.19,14127.32,41,171
2023-02-25,West,Software,2550.46,7934.16,18,108
2023-02-26,West,Software,3290.6,9659.65,35,109
2023-02-27,North,Electronics,1748.22,6593.99,30,64
2023-02-28,East,Accessories,1346.55,5642.07,23,85
2023-03-01,North,Software,2586.64,7606.53,41,120
2023-03-02,East,Accessories,2090.09,9010.45,35,108
2023-03-03,East,Accessories,3126.45,11303.18,18,91
2023-03-04,North,Software,849.81,4022.92,27,69
2023-03-05,North,Electronics,4884.78,16745.24,18,176
2023-03-06,East,Software,4937.95,15841.11,38,163
2023-03-07,South,Electronics,3641.73,13323.03,38,126
2023-03-08,West,Accessories,2912.43,9583.88,25,105
2023-03-09,North,Electronics,1892.87,6494.44,41,87
2023-03-10,West,Electronics,4162.08,16270.06,19,148
2023-03-11,South,Electronics,3581.29,15010.81,23,119
2023-03-12,South,Accessories,1231.78,4956.68,40,94
2023-03-13,South,Accessories,4599.17,13987.03,26,162
2023-03-14,North,Electronics,4201.42,14882.97,34,126
2023-03-15,South,Electronics,4774.1,15704.21,28,173
2023-03-16,North,Software,3765.74,10187.33,30,116
2023-03-17,South,Electronics,3260.37,9907.45,30,134
2023-03-18,West,Software,2382.09,8717.8,26,108
2023-03-19,West,Electronics,4697.28,17668.27,38,169
2023-03-20,East,Software,4397.29,11854.64,27,134
2023-03-21,West,Accessories,703.48,3490.82,35,61
2023-03-22,East,Electronics,618.65,2622.61,26,85
2023-03-23,West,Electronics,2194.09,8683.8,18,91
2023-03-24,North,Electronics,4147.49,11404.83,45,120
2023-03-25,West,Electronics,4942.74,13784.65,40,149
2023-03-26,East,Software,1176.88,6590.43,62,86
2023-03-27,East,Electronics,3173.59,9535.98,22,125
2023-03-28,South,Accessories,2214.01,9214.56,32,132
2023-03-29,North,Accessories,4864.61,14352.72,33,160
2023-03-30,West,Electronics,4289.54,12549.74,46,104
2023-03-31,South,Accessories,4272.48,13479.06,28,141
2023-04-01,West,Electronics,2609.12,10337.43,20,134
2023-04-02,West,Electronics,2366.69,9668.97,49,94
2023-04-03,South,Accessories,1730.33,7349.0,31,109
2023-04-04,South,Electronics,753.69,3131.61,45,80
2023-04-05,South,Accessories,4391.25,17579.73,44,149
2023-04-06,South,Software,4158.05,12662.34,34,146
2023-04-07,South,Electronics,4998.73,15957.32,32,160
2023-04-08,West,Software,4984.87,21055.15,30,200
2023-04-09,South,Accessories,2999.44,8118.95,34,89
2023-04-10,North,Software,3960.44,11427.92,45,128
2023-04-11,East,Software,4751.45,14225.66,25,119
2023-04-12,South,Accessories,4323.41,11937.53,36,95
2023-04-13,South,Software,1613.07,5382.16,21,87
2023-04-14,West,Software,2527.45,9163.09,23,127
2023-04-15,South,Accessories,1081.22,4484.23,34,83
2023-04-16,South,Software,4793.23,18869.93,18,174
2023-04-17,South,Accessories,3227.79,13521.71,59,137
2023-04-18,West,Software,1528.89,5917.79,20,75
2023-04-19,South,Accessories,3522.65,10930.69,34,119
2023-04-20,East,Accessories,3281.58,10850.44,49,128
2023-04-21,West,Software,2111.73,8286.9,24,98
2023-04-22,East,Software,1011.01,3534.77,18,84
2023-04-23,West,Software,3522.08,14008.64,29,146
2023-04-24,South,Electronics,2841.38,10027.37,24,121
2023-04-25,East,Electronics,3975.43,14427.15,18,159
2023-04-26,West,Electronics,2840.74,10300.94,38,110
2023-04-27,North,Accessories,4334.82,13461.99,37,149
2023-04-28,South,Software,2983.58,13248.14,48,132
2023-04-29,West,Accessories,3024.22,12081.79,21,135
2023-04-30,North,Electronics,4444.94,13521.62,18,130
2023-05-01,West,Software,2315.67,9706.84,30,101
2023-05-02,North,Accessories,1103.07,5222.82,33,86
2023-05-03,South,Software,629.52,3619.19,46,45
2023-05-04,East,Accessories,3898.12,16513.44,51,155
2023-05-05,North,Software,3291.39,11143.04,49,100
2023-05-06,West,Electronics,3668.36,10396.81,38,131
2023-05-07,South,Electronics,1458.34,4717.79,44,97
2023-05-08,North,Software,1113.67,4424.33,27,66
2023-05-09,West,Accessories,565.45,3260.27,37,78
2023-05-10,West,Electronics,2077.64,7562.47,20,113
2023-05-11,West,Electronics,3154.63,11028.5,35,137
2023-05-12,North,Electronics,2265.1,9451.23,36,116
2023-05-13,North,Software,2468.64,10350.18,55,130
2023-05-14,North,Software,4568.71,16401.04,32,149
2023-05-15,East,Accessories,2067.15,6136.29,36,92
2023-05-16,North,Accessories,2812.95,9463.5,37,106
2023-05-17,North,Accessories,4026.44,10926.04,29,111
2023-05-18,North,Software,2284.44,9949.9,25,116
2023-05-19,East,Software,3299.39,10376.76,50,124
2023-05-20,North,Accessories,4380.64,15684.49,23,172
2023-05-21,West,Accessories,4772.84,15360.58,19,156
2023-05-22,North,Software,1161.83,5306.95,43,95
2023-05-23,West,Accessories,4669.64,16304.8,48,168
2023-05-24,West,Electronics,2714.52,10714.04,29,161
2023-05-25,West,Software,1662.1,4888.99,29,55
2023-05-26,East,Accessories,2566.11,8458.47,38,96
2023-05-27,East,Software,4910.15,14230.86,26,166
2023-05-28,East,Electronics,2716.78,12350.1,25,127
2023-05-29,North,Software,1979.38,7726.62,45,114
2023-05-30,West,Software,3350.3,12091.65,42,134
2023-05-31,East,Software,1580.66,6775.7,50,126
2023-06-01,East,Software,841.38,4032.43,19,60
2023-06-02,North,Electronics,1079.96,4250.42,28,96
2023-06-03,East,Software,1076.21,4539.76,38,106
2023-06-04,North,Software,1183.56,5390.77,23,70
2023-06-05,South,Accessories,1124.72,4846.7,42,94
2023-06-06,East,Software,3383.94,12294.63,49,117
2023-06-07,South,Accessories,1318.46,4046.23,27,77
2023-06-08,North,Electronics,2055.5,6813.35,35,91
2023-06-09,West,Electronics,4535.55,17214.2,52,128
2023-06-10,East,Electronics,2632.83,7083.81,56,103
2023-06-11,North,Electronics,3504.01,12904.99,43,138
2023-06-12,West,Accessories,1275.44,4579.63,42,102
2023-06-13,West,Software,1365.3,5741.71,24,97
2023-06-14,South,Electronics,683.91,1888.72,39,96
2023-06-15,North,Software,1260.21,4940.45,41,84
2023-06-16,West,Accessories,1753.66,6697.8,32,93
2023-06-17,East,Accessories,1296.55,4978.83,27,80
2023-06-18,East,Accessories,899.16,4198.98,19,71
2023-06-19,South,Electronics,1042.86,4308.41,18,45
2023-06-20,West,Software,2573.5,10399.35,18,116
2023-06-21,North,Software,1428.5,5955.77,41,58
2023-06-22,East,Software,2139.21,9252.59,36,118
2023-06-23,West,Accessories,2765.38,8450.99,29,87
2023-06-24,West,Electronics,3606.78,9407.7,31,99
2023-06-25,South,Accessories,676.9,2822.36,37,58
2023-06-26,East,Accessories,4097.35,13853.15,33,139
2023-06-27,East,Software,3325.55,9697.5,18,114
2023-06-28,North,Accessories,867.92,3686.37,45,90
2023-06-29,East,Software,4431.1,16661.61,38,152
2023-06-30,North,Electronics,4643.93,15262.58,38,158
2023-07-01,East,Software,774.85,3137.14,45,111
2023-07-02,South,Electronics,1745.95,5224.85,25,90
2023-07-03,East,Software,4127.91,12045.34,49,127
2023-07-04,North,Accessories,3867.17,15315.5,33,140
2023-07-05,North,Accessories,1330.34,5925.87,45,86
2023-07-06,South,Electronics,1442.07,6701.52,43,81
2023-07-07,East,Electronics,2167.12,7786.54,22,105
2023-07-08,East,Electronics,2680.35,8872.88,41,110
2023-07-09,South,Software,3282.15,13887.36,38,110
2023-07-10,East,Software,2160.11,8838.87,35,108
2023-07-11,East,Electronics,2581.41,10333.32,33,135
2023-07-12,North,Accessories,3863.62,12072.81,33,124
2023-07-13,East,Software,665.07,2976.03,44,60
2023-07-14,East,Software,1635.97,5999.92,41,69
2023-07-15,South,Software,3710.07,10441.08,35,91
2023-07-16,South,Electronics,4528.43,18486.61,18,185
2023-07-17,West,Electronics,2802.55,8064.06,40,101
2023-07-18,North,Electronics,2894.51,12266.99,43,143
2023-07-19,East,Electronics,982.27,4337.03,62,101
2023-07-20,East,Electronics,2513.36,7686.96,47,115
2023-07-21,West,Accessories,2896.78,10601.24,18,112
2023-07-22,East,Accessories,1591.12,7130.9,35,99
2023-07-23,North,Electronics,1711.59,7385.16,56,90
2023-07-24,West,Software,2197.78,9086.62,42,99
2023-07-25,North,Electronics,590.32,3602.07,38,79
2023-07-26,West,Accessories,1949.36,6847.17,45,83
2023-07-27,West,Accessories,1451.52,7946.6,27,69
2023-07-28,South,Software,1973.74,6237.95,40,78
2023-07-29,North,Accessories,1038.93,4561.74,31,75
2023-07-30,East,Electronics,4507.37,13294.81,34,161
2023-07-31,East,Software,3171.17,13948.14,44,135
2023-08-01,North,Electronics,3555.96,15063.74,23,158
2023-08-02,East,Electronics,4051.27,11042.41,50,121
2023-08-03,East,Software,2742.99,11297.1,29,143
2023-08-04,North,Electronics,891.14,4382.66,38,96
2023-08-05,West,Accessories,2916.98,9356.16,18,130
2023-08-06,North,Electronics,3140.79,11069.07,43,97
2023-08-07,West,Software,3854.48,15913.84,52,159
2023-08-08,East,Software,2442.47,8232.24,28,116
2023-08-09,East,Software,1074.11,5290.42,21,90
2023-08-10,East,Electronics,1776.99,6388.87,38,102
2023-08-11,South,Software,2133.87,9069.03,52,111
2023-08-12,West,Software,3406.63,14512.37,18,135
2023-08-13,South,Electronics,3068.5,13116.26,21,111
2023-08-14,South,Accessories,2102.44,7976.21,29,93
2023-08-15,North,Electronics,4939.32,19196.82,25,218
2023-08-16,South,Software,3225.99,13485.93,25,132
2023-08-17,North,Software,1567.52,5124.3,18,54
2023-08-18,North,Electronics,958.02,5401.79,42,97
2023-08-19,South,Accessories,1187.87,3649.79,39,87
2023-08-20,West,Software,1606.81,6602.48,18,113
2023-08-21,West,Software,1223.07,4982.21,52,90
2023-08-22,West,Software,1339.55,4464.95,55,92
2023-08-23,West,Electronics,1782.93,5833.42,25,116
2023-08-24,West,Software,1280.18,6255.11,48,80
2023-08-25,South,Accessories,4535.44,14933.04,28,135
2023-08-26,South,Software,861.05,4266.5,37,62
2023-08-27,East,Software,2860.3,7588.77,24,96
2023-08-28,West,Accessories,2346.79,7509.98,61,121
2023-08-29,South,Software,4920.7,17807.23,31,176
2023-08-30,East,Electronics,1004.18,4986.45,36,90
2023-08-31,West,Electronics,2290.35,8181.69,26,77
2023-09-01,North,Electronics,4862.62,18039.45,57,159
2023-09-02,East,Accessories,4394.78,18472.35,57,145
2023-09-03,South,Software,4176.82,15169.89,54,168
2023-09-04,North,Electronics,1660.56,5791.92,46,112
2023-09-05,North,Accessories,1268.99,3704.59,27,86
2023-09-06,North,Software,3508.89,13712.85,44,126
2023-09-07,East,Accessories,4682.19,12032.99,34,152
2023-09-08,South,Electronics,3005.43,12014.29,50,126
2023-09-09,North,Electronics,3072.26,11894.47,48,111
2023-09-10,West,Electronics,1759.91,7102.41,27,82
2023-09-11,North,Accessories,3962.72,15503.06,46,146
2023-09-12,North,Accessories,1341.7,5716.06,43,88
2023-09-13,East,Electronics,1956.56,6620.19,18,91
2023-09-14,East,Accessories,2414.46,9899.53,44,94
2023-09-15,South,Electronics,2784.25,9289.17,29,130
2023-09-16,West,Electronics,1590.84,6667.05,24,92
2023-09-17,East,Software,1016.77,5265.94,24,74
2023-09-18,North,Accessories,3247.79,12251.21,33,148
2023-09-19,South,Electronics,1798.84,7810.91,40,84
2023-09-20,North,Electronics,3115.57,12408.92,18,108
2023-09-21,North,Accessories,1194.63,5298.26,37,104
2023-09-22,East,Software,2665.13,9120.16,41,139
2023-09-23,South,Software,2896.65,11436.44,57,119
2023-09-24,West,Electronics,733.21,2517.25,22,66
2023-09-25,West,Accessories,2014.72,5604.26,30,70
2023-09-26,East,Software,1104.87,5072.57,38,83
2023-09-27,East,Accessories,785.19,2389.24,48,58
2023-09-28,South,Accessories,4954.82,16753.59,31,160
2023-09-29,West,Electronics,1950.59,6922.57,49,102
2023-09-30,West,Software,4144.44,11962.75,18,113
2023-10-01,West,Electronics,1645.88,5446.57,19,80
2023-10-02,North,Software,3566.76,15075.02,39,123
2023-10-03,West,Software,3921.03,13514.57,18,134
2023-10-04,North,Software,3180.37,10689.94,20,119
2023-10-05,South,Software,2622.09,10504.92,28,123
2023-10-06,North,Software,2353.28,7636.79,44,104
2023-10-07,South,Accessories,2069.91,8649.09,18,121
2023-10-08,West,Electronics,4682.88,17795.46,37,145
2023-10-09,West,Accessories,4237.79,11670.69,47,105
2023-10-10,South,Software,4842.62,16625.28,32,168
2023-10-11,East,Electronics,1059.34,4736.54,30,50
2023-10-12,South,Software,3788.9,14885.46,39,151
2023-10-13,East,Electronics,4722.53,16315.73,32,141
2023-10-14,North,Accessories,1315.55,6256.59,51,115
2023-10-15,North,Electronics,799.23,3584.87,21,77
2023-10-16,North,Electronics,3835.04,15987.71,34,153
2023-10-17,West,Electronics,3085.13,8991.52,37,128
2023-10-18,North,Electronics,4288.23,17717.41,30,152
2023-10-19,East,Electronics,1128.98,4842.98,18,69
2023-10-20,North,Software,4078.7,14430.32,33,127
2023-10-21,South,Electronics,1407.32,5876.1,45,76
2023-10-22,South,Electronics,1236.45,5442.26,44,87
2023-10-23,West,Accessories,1239.2,4537.26,39,87
2023-10-24,South,Electronics,4165.59,12871.89,21,150
2023-10-25,East,Accessories,3493.39,10241.81,39,90
2023-10-26,North,Software,2853.79,12170.35,28,128
2023-10-27,West,Electronics,2114.74,7359.91,39,82
2023-10-28,North,Accessories,4447.4,12214.9,36,128
2023-10-29,North,Accessories,2266.0,9990.84,23,151
2023-10-30,East,Software,4174.7,17207.03,24,169
2023-10-31,South,Electronics,2476.11,10705.7,39,134
2023-11-01,South,Electronics,2196.25,10371.3,32,148
2023-11-02,North,Accessories,2582.06,8320.65,24,122
2023-11-03,West,Electronics,1856.2,6601.79,23,87
2023-11-04,South,Accessories,3864.24,15256.23,31,132
2023-11-05,West,Electronics,2762.24,11039.29,53,123
2023-11-06,South,Accessories,1544.96,4570.85,28,71
2023-11-07,West,Electronics,4548.09,18510.64,34,150
2023-11-08,East,Software,2227.51,7168.24,36,101
2023-11-09,West,Electronics,2945.99,9216.35,21,115
2023-11-10,East,Electronics,4579.12,16511.81,18,186
2023-11-11,East,Software,3309.07,12589.38,22,128
2023-11-12,West,Electronics,1026.04,4107.48,37,81
2023-11-13,East,Software,4729.24,13873.56,36,132
2023-11-14,North,Electronics,3324.69,13407.41,43,152
2023-11-15,East,Accessories,2007.08,7727.09,36,99
2023-11-16,South,Accessories,1126.72,3621.61,33,56
2023-11-17,West,Electronics,4073.11,16732.48,27,161
2023-11-18,North,Electronics,3290.33,13551.42,45,146
2023-11-19,West,Electronics,2900.57,13113.78,23,141
2023-11-20,South,Accessories,4522.52,17178.96,21,180
2023-11-21,South,Electronics,4048.69,15363.2,41,130
2023-11-22,South,Accessories,1182.54,4566.0,19,67
2023-11-23,East,Software,1902.75,5828.09,63,98
2023-11-24,East,Accessories,1618.2,6263.71,35,80
2023-11-25,West,Accessories,3847.76,13382.71,39,142
2023-11-26,West,Software,650.9,3692.55,25,38
2023-11-27,North,Accessories,3064.5,11218.17,31,165
2023-11-28,North,Electronics,3931.06,13885.51,29,138
2023-11-29,West,Electronics,4445.45,13383.79,28,157
2023-11-30,East,Accessories,2039.37,5929.32,42,84
2023-12-01,South,Electronics,4195.66,15946.42,29,162
2023-12-02,West,Accessories,997.84,3607.52,47,96
2023-12-03,North,Electronics,4309.04,17481.68,66,184
2023-12-04,East,Electronics,1073.7,4095.55,31,74
2023-12-05,West,Accessories,2287.79,7650.9,36,98
2023-12-06,West,Electronics,4087.83,13895.51,39,157
2023-12-07,East,Accessories,1174.63,5877.8,56,124
2023-12-08,West,Electronics,1531.63,6180.18,34,94
2023-12-09,East,Electronics,3750.14,14340.66,25,174
2023-12-10,South,Software,3740.16,13257.23,19,134
2023-12-11,East,Software,3385.16,10007.29,34,130
2023-12-12,East,Accessories,3622.77,15113.2,29,167
2023-12-13,East,Software,2942.26,11324.61,59,119
2023-12-14,West,Accessories,1633.1,6340.06,56,81
2023-12-15,West,Software,2055.63,8468.52,22,123
2023-12-16,East,Electronics,1317.19,5907.79,26,81
2023-12-17,West,Accessories,4588.03,16965.53,35,149
2023-12-18,North,Accessories,3125.26,12753.72,51,124
2023-12-19,North,Electronics,2303.83,8858.95,35,101
2023-12-20,West,Accessories,2579.03,10429.4,27,132
2023-12-21,West,Accessories,4762.78,17841.93,34,176
2023-12-22,East,Software,1190.08,5373.17,27,96
2023-12-23,South,Accessories,3138.03,9822.96,42,121
2023-12-24,West,Electronics,2776.5,12668.78,26,125
2023-12-25,North,Software,3251.54,12794.81,28,145
2023-12-26,East,Software,581.5,1862.52,48,80
2023-12-27,West,Electronics,4424.56,17889.7,25,178
2023-12-28,North,Electronics,4694.53,14617.08,18,154
2023-12-29,North,Software,3043.1,10007.2,36,105
2023-12-30,South,Accessories,3634.93,15004.64,30,153
2023-12-31,East,Software,4651.25,13797.94,41,129
